"datum","regija","stavba","namembnost","povrsina","leto_izgradnje","temp_zraka","temp_rosisca","oblacnost","padavine","pritisk","smer_vetra","hitrost_vetra","poraba"
"2016-01-01","zahodna",2,"izobrazevalna",9181.510587,1968,10.6,-4.4,0,0,1020.5,0,0,118.84
"2016-01-01","zahodna",4,"stanovanjska",51394.86863,2009,10.6,-4.4,0,0,1020.5,0,0,311.68
"2016-01-01","zahodna",6,"izobrazevalna",17043.98438,2005,10.6,-4.4,0,0,1020.5,0,0,511.72
"2016-01-01","zahodna",8,"poslovna",12244.336691,1968,10.6,-4.4,0,0,1020.5,0,0,34.27
"2016-01-01","zahodna",10,"izobrazevalna",10371.226405,1989,10.6,-4.4,0,0,1020.5,0,0,84.42
"2016-01-01","zahodna",12,"kulturno_razvedrilna",15520.932598,1989,10.6,-4.4,0,0,1020.5,0,0,287.12
"2016-01-01","zahodna",14,"izobrazevalna",12311.319754,1992,10.6,-4.4,0,0,1020.5,0,0,161.34
"2016-01-01","zahodna",16,"poslovna",2187.772747,1941,10.6,-4.4,0,0,1020.5,0,0,15.28
"2016-01-01","zahodna",18,"izobrazevalna",12731.42712,1957,10.6,-4.4,0,0,1020.5,0,0,116.1
"2016-01-01","zahodna",20,"izobrazevalna",14087.532211,1983,10.6,-4.4,0,0,1020.5,0,0,657.04
"2016-01-01","zahodna",22,"poslovna",901.437809,1940,10.6,-4.4,0,0,1020.5,0,0,9.44
"2016-01-01","zahodna",24,"kulturno_razvedrilna",13293.768979,1964,10.6,-4.4,0,0,1020.5,0,0,175.91
"2016-01-01","zahodna",26,"stanovanjska",6938.181846,2006,10.6,-4.4,0,0,1020.5,0,0,158.7
"2016-01-01","zahodna",28,"stanovanjska",2875.254947,1951,10.6,-4.4,0,0,1020.5,0,0,24.13
"2016-01-01","zahodna",30,"javno_storitvena",32129.294811,1966,10.6,-4.4,0,0,1020.5,0,0,160.07
"2016-01-01","zahodna",32,"izobrazevalna",6619.152944,2004,10.6,-4.4,0,0,1020.5,0,0,174
"2016-01-01","zahodna",34,"izobrazevalna",4613.748786,1964,10.6,-4.4,0,0,1020.5,0,0,167.65
"2016-01-01","zahodna",36,"stanovanjska",3382.226618,1940,10.6,-4.4,0,0,1020.5,0,0,24.24
"2016-01-01","zahodna",38,"izobrazevalna",26286.532238,2003,10.6,-4.4,0,0,1020.5,0,0,203.1
"2016-01-01","zahodna",40,"izobrazevalna",11389.164576,1971,10.6,-4.4,0,0,1020.5,0,0,256.36
"2016-01-01","zahodna",42,"kulturno_razvedrilna",1108.797305,1939,10.6,-4.4,0,0,1020.5,0,0,14.34
"2016-01-01","zahodna",44,"stanovanjska",20115.914978,1967,10.6,-4.4,0,0,1020.5,0,0,77.79
"2016-01-01","zahodna",46,"kulturno_razvedrilna",1591.614196,1918,10.6,-4.4,0,0,1020.5,0,0,5.11
"2016-01-01","zahodna",48,"izobrazevalna",3134.454317,1939,10.6,-4.4,0,0,1020.5,0,0,82.07
"2016-01-01","zahodna",50,"izobrazevalna",2335.488517,1970,10.6,-4.4,0,0,1020.5,0,0,8.24
"2016-01-01","zahodna",52,"izobrazevalna",864.834027,1970,10.6,-4.4,0,0,1020.5,0,0,20.72
"2016-01-01","zahodna",54,"javno_storitvena",9407.543586,1982,10.6,-4.4,0,0,1020.5,0,0,36.86
"2016-01-01","zahodna",56,"stanovanjska",10340.475512,1964,10.6,-4.4,0,0,1020.5,0,0,87.16
"2016-01-01","zahodna",58,"poslovna",18806.818805,1967,10.6,-4.4,0,0,1020.5,0,0,308.7
"2016-01-01","zahodna",60,"izobrazevalna",2289.408629,1982,10.6,-4.4,0,0,1020.5,0,0,113.25
"2016-01-01","zahodna",62,"izobrazevalna",12236.25413,1991,10.6,-4.4,0,0,1020.5,0,0,178.02
"2016-01-01","zahodna",64,"kulturno_razvedrilna",23668.525698,1989,10.6,-4.4,0,0,1020.5,0,0,152.1
"2016-01-01","zahodna",66,"izobrazevalna",11797.287455,1979,10.6,-4.4,0,0,1020.5,0,0,215.49
"2016-01-01","zahodna",68,"izobrazevalna",8145.084719,1960,10.6,-4.4,0,0,1020.5,0,0,70.05
"2016-01-01","zahodna",70,"poslovna",11052.298298,1988,10.6,-4.4,0,0,1020.5,0,0,87.3
"2016-01-01","zahodna",72,"kulturno_razvedrilna",75207.76559,1958,10.6,-4.4,0,0,1020.5,0,0,137.26
"2016-01-01","zahodna",74,"poslovna",6580.505296,2014,10.6,-4.4,0,0,1020.5,0,0,86.69
"2016-01-01","zahodna",76,"izobrazevalna",1185.535183,1909,10.6,-4.4,0,0,1020.5,0,0,57.86
"2016-01-01","zahodna",78,"kulturno_razvedrilna",9801.731015,2008,10.6,-4.4,0,0,1020.5,0,0,91.63
"2016-01-01","zahodna",80,"stanovanjska",3051.027423,1935,10.6,-4.4,0,0,1020.5,0,0,26.69
"2016-01-01","zahodna",82,"kulturno_razvedrilna",997.127899,2005,10.6,-4.4,0,0,1020.5,0,0,6.97
"2016-01-01","zahodna",84,"poslovna",4806.057996,1966,10.6,-4.4,0,0,1020.5,0,0,25.47
"2016-01-02","zahodna",2,"izobrazevalna",9181.510587,1968,16.1,0,4,0,1021.3,70,7.7,67.28
"2016-01-02","zahodna",4,"stanovanjska",51394.86863,2009,16.1,0,4,0,1021.3,70,7.7,313.67
